og_voo,qtde_ocorr,perc_ocorr
AGROPASTORIL BOM PASTOR,2,0.02
SIMÓN BOLÍVAR INTERNATIONAL AIRPORT,2,0.02
SINAL EMPREENDIMENTOS,2,0.02
ARIOSTO DA RIVA,2,0.02
LÁBREA,2,0.02
BARRA DO BUGRES,2,0.02
VERA CRUZ,2,0.02
ULTRALEVE CLUBE DE CURITIBA,2,0.02
AAGV - Associação Aerodesportiva de Getulio Vargas,2,0.02
TUCURUÍ,2,0.02
NOVA OLINDA DO NORTE,2,0.02
USINA CORURIPE,2,0.02
OLAVO CECCO RIGON,2,0.02
NOSSA SENHORA DE FÁTIMA,2,0.02
NANUQUE,2,0.02
NOVO HORIZONTE,2,0.02
TERRAMARE,2,0.02
JOÃO SILVA,2,0.02
ZIRONDI,2,0.02
AEROCLUBE DE RONDÔNIA,2,0.02
ORLANDO DE CARVALHO,2,0.02
OIAPOQUE,2,0.02
CANARANA,2,0.02
VALENÇA,2,0.02
PEREGRINO FILHO,2,0.02
MOLITERNO DE DRACENA,2,0.02
MANOEL RIBAS,2,0.02
USINA PORTO RICO,2,0.02
BAURU/AREALVA (SJTC*),2,0.02
MARECHAL THAUMATURGO,2,0.02
MUNICIPAL JOÃO WINCKLER,2,0.02
MARACÁS,2,0.02
ADOLFO SUÁREZ MADRIDBARAJAS AIRPORT,2,0.02
MUNDICO COELHO,2,0.02
LENÇÓIS PAULISTA,2,0.02
MAUÉS,2,0.02
LUIS EDUARDO MAGALHÃES,2,0.02
LUIZ EDUARDO MAGALHÃES,2,0.02
MORRO DA URCA,2,0.02
MACA AERO,2,0.02
VERANÓPOLIS,2,0.02
BANAER DE JACUPIRANGA,2,0.02
BARRA GRANDE,2,0.02
AEROPORTO INTERNACIONAL CAPITAN CORBETA CA CURBELO,2,0.02
GURGUÉIA,2,0.02
FAZENDA BANDEIRANTES,2,0.02
DIAMANTINA,2,0.02
ESPUMOSO,2,0.02
DOMINGOS REGO,2,0.02
EIRUNEPÉ,2,0.02
CEARÁ-MIRIM,2,0.02
CIPÓ,2,0.02
FAZENDA SANTO AMBRÓSIO,2,0.02
IJUÍ,2,0.02
HELISUL IV,2,0.02
IBOTIRAMA,2,0.02
Clube Céu,2,0.02
CURRAIS NOVOS,2,0.02
FAZENDA IRMÃOS MUNARETTO,2,0.02
FAZENDA NOVA FLORESTA,2,0.02
CATALÃO,2,0.02
CAPÃO DA CANOA,2,0.02
CMTE Juliano Rambo,2,0.02
COMANDANTE PASCHOAL PATROCÍNIO FILHO,2,0.02
FLY CLUB,2,0.02
PREFEITURA DO RIO DE JANEIRO,2,0.02
JANAÚBA,2,0.02
EMBAIXADOR WALTHER MOREIRA SALLES,2,0.02
FAZENDA ANAHÍ,2,0.02
FAZENDA VISA ESTÂNCIA,2,0.02
CAP. PM CIDIMAR ANTUNES DE ALMEIDA,2,0.02
CIRILO QUEIRÓZ,2,0.02
JABOTICABAL,2,0.02
FAZENDA CANAÃ,2,0.02
CLUBE DE MARTE IBIRÁ DE PÁRA-QUEDISMO,2,0.02
FRANCISCO LACERDA JÚNIOR,2,0.02
CAPITÃO JOÃO BUSSE,2,0.02
JARDIM,2,0.02
FAZENDA MALU,2,0.02
CANUTAMA,2,0.02
ESTÂNCIA RECANTO,2,0.02
COLIDER,2,0.02
Clube Estância Ouro Verde,2,0.02
J.C. PERALTA,2,0.02
MINEIROS,2,0.02
FAZENDA BELLUNO,2,0.02
Aeroporto Regional do Vale do Aço,2,0.02
ASAS DE BALSA NOVA,2,0.02
PORTO WALTER,2,0.02
PORTO DE MOZ,2,0.02
SÃO SEBASTIÃO DO PARAÍSO,2,0.02
PORTO BONITO,2,0.02
Aeroata,2,0.02
PIRASSUNUNGA,2,0.02
AEROPORTO INTERNACIONAL DE CARRASCO - GENERAL CESARIO L BERISSO,2,0.02
PIQUET,2,0.02
PINDAMONHANGABA,2,0.02
FAZENDA SÃO FRANCISCO,2,0.02
TENENTE LUND PRESSOTO,2,0.02
DOURADOS,2,0.02
SÍTIO FLYER,2,0.02
J LEM,2,0.02
GOVERNADOR LUCAS NOGUEIRA GARCEZ (SBLN*),2,0.02
IPIRANGA,2,0.02
HELIBRÁS,2,0.02
GARÇA,2,0.02
ITABORAÍ,2,0.02
CIBRASA,2,0.02
CRISTIANO FERREIRA VARELLA,2,0.02
GRUPAMENTO AÉREO DA POLÍCIA MILITAR/ PRAIA GRANDE,2,0.02
DR. JOSÉ DE ARRUDA BOTELHO,2,0.02
Crepurizão,2,0.02
HIDRELÉTRICA DE ITUMBIARA,2,0.02
COXIM,2,0.02
FAZENDA SÃO MARCO,2,0.02
FAZENDA CERRADÃO,2,0.02
FAZENDA CENTRO DE VÔO A VELA IPUÃ,2,0.02
GASTÃO DE MESQUITA FILHO,2,0.02
FAZENDA RIO FONTOURA,1,0.01
FAZENDA RIO BRILHANTE,1,0.01
FAZENDA RIO AZUL,1,0.01
FAZENDA RANCHO GRANDE,1,0.01
FAZENDA REDENÇÃO,1,0.01
FAZENDA PORTOBELLO,1,0.01
FAZENDA PROGRESSO,1,0.01
FAZENDA POUSO ALEGRE,1,0.01
FAZENDA PIRAGUASSU,1,0.01
JOSÉ ROBERTO MAGALHÃES TEIXEIRA,1,0.01
FAZENDA NOVA CONCEIÇÃO,1,0.01
SERRA DO CIPÓ,1,0.01
JOÃO DURVAL CARNEIRO,1,0.01
JOÃO FONSECA - AM,1,0.01
SANTUÁRIO NACIONAL DE NOSSA SENHORA DA CONCEIÇÃO APARECIDA,1,0.01
SAPAN,1,0.01
SARANDI,1,0.01
SEBASTIÃO GOMES DE SOUZA,1,0.01
SERTANÓPOLIS,1,0.01
SANTANA DO ARAGUAIA,1,0.01
SIEM HELIX I,1,0.01
SILVESTRE,1,0.01
FAZENDA PERDIZES,1,0.01
SOLAG - SOL E LUA AVIAÇÃO AGRÍCOLA,1,0.01
FAZENDA PIONEIRA,1,0.01
FAZENDA SANTA VERGÍNIA,1,0.01
FAZENDA PAULISTA,1,0.01
FAZENDA PATO BRANCO,1,0.01
SOUSA,1,0.01
FAZENDA SÃO ROQUE,1,0.01
FAZENDA NOSSA SENHORA DAS GRAÇAS,1,0.01
FAZENDA NOVO HORIZONTE,1,0.01
FAZENDA SACO DA TAPERA,1,0.01
FAZENDA SANTA ADA,1,0.01
FAZENDA SANTA ADÉLIA,1,0.01
FAZENDA SANTA CRUZ,1,0.01
FAZENDA SANTA RITA DO ARAGUAIA,1,0.01
FAZENDA RONCADOR I,1,0.01
FAZENDA SANTO ÂNGELO,1,0.01
FAZENDA SONORA ESTÂNCIA,1,0.01
FAZENDA SOROTECA,1,0.01
FAZENDA SÃO JOAQUIM,1,0.01
FAZENDA SÃO JOSÉ O.B.,1,0.01
FAZENDA SÃO LOURENÇO,1,0.01
FAZENDA SÃO PAULO DOS PALMARES,1,0.01
FAZENDA SMITH,1,0.01
FAZENDA RONCADOR,1,0.01
FAZENDA RIO PARDO,1,0.01
FAZENDA RIO NEGRO,1,0.01
FAZENDA PAIAGUAS,1,0.01
FAZENDA PARNAÍBA,1,0.01
SOURE,1,0.01
WEST GATE,1,0.01
SUBESTAÇÃO SÃO ROQUE,1,0.01
SÃO CHICO,1,0.01
USINA SÃO MARTINHO,1,0.01
Umberto Modiano,1,0.01
VERA CRUZ/AEROCLUBE DA BAHIA,1,0.01
UMCP AQUARIUS BRASIL (CARAPEBUS),1,0.01
VIGANÓ I,1,0.01
VIRU VIRU,1,0.01
WALFRIDO SAMITO DE ALMEIDA,1,0.01
FAZENDA FONTANA,1,0.01
WHEATON,1,0.01
WILMA REBELO,1,0.01
ÁGUAS CLARAS AVIAÇÃO AGRÍCOLA,1,0.01
VILA VELHA,1,0.01
UMBERTO MODIANO,1,0.01
TUPI PAULISTA,1,0.01
TUCUXIM,1,0.01
SÃO SEBASTIÃO,1,0.01
SÃO SEPÉ,1,0.01
SÍLVIO GONÇALVES DE MELLO,1,0.01
SÍTIO GURUPI,1,0.01
SÓCRATES MARIANI BITTENCOURT,1,0.01
TANCREDO DE ALMEIDA NEVES,1,0.01
TANCREDO THOMAS DE FARIA,1,0.01
TELÊMACO BORBA (SBTL*),1,0.01
USINA COLORADO,1,0.01
URUAÇU,1,0.01
URARICOERA,1,0.01
RESIDÊNCIA OFICIAL,1,0.01
SIKORSKI,1,0.01
SANTA VITÓRIA DO PALMAR,1,0.01
SANTA MAGALHÃES,1,0.01
SANTA ANASTÁCIA I,1,0.01
QUINTA DA BARONEZA II,1,0.01
QUIXADÁ,1,0.01
RACHID SALIBA,1,0.01
RANCHO VILLELA,1,0.01
RECANTO DAS ÁGUIAS,1,0.01
REPRESA AVARÉ,1,0.01
RIACHÃO,1,0.01
SÃO MATEUS,1,0.01
RIO ALPHA,1,0.01
RIO PARANAÍBA,1,0.01
RIO PARDO,1,0.01
RODRIGUES,1,0.01
ROSADA,1,0.01
ROYAL PALM PLAZA,1,0.01
RUY BARBOSA,1,0.01
SÃO FÉLIX DO ARAGUAIA,1,0.01
Pista Mata Verde,1,0.01
SÃO JOAQUIM,1,0.01
FAZENDA NOSSA SENHORA DA CANDELÁRIA,1,0.01
IATE CLUBE DE SANTOS - ANGRA DOS REIS,1,0.01
FAZENDA ESTRELA DO SUL,1,0.01
FAZENDA VASSOURAL,1,0.01
FAZENDA VÔ ZECA,1,0.01
FAZENDA YARA,1,0.01
FAZENDA ÁGUA AZUL,1,0.01
FAZENDA ÁGUA SANTA,1,0.01
FEIJÓ,1,0.01
FERNANDO DE NORONHA,1,0.01
Fazenda Valiosa,1,0.01
FAZENDA TAUÁ,1,0.01
Fazenda Vitória,1,0.01
GAUDÊNCIO MACHADO RAMOS,1,0.01
IPORANGA-GUARUJÁ,1,0.01
ITACOATIARA,1,0.01
ITAJAÍ/CAMPO COMANDANTES,1,0.01
ITAPARÁ SPORT FISHING,1,0.01
ITAPESSOCA,1,0.01
ITAPETINGA,1,0.01
IPIAÚ,1,0.01
ITUVERAVA,1,0.01
JANUÁRIA,1,0.01
JEOVÁ GOMES,1,0.01
JIHAD DEHAINI,1,0.01
JORDÃO,1,0.01
JORNALISTA BENEDITO PIMENTEL,1,0.01
FAZENDA VERA PAZ,1,0.01
FAZENDA TRÊS UNIDOS,1,0.01
JALES,1,0.01
FAZENDA TRÊS MINAS,1,0.01
FORQUILHINHA - CRICIÚMA,1,0.01
FPSO CIDADE DE SÃO PAULO MV 23,1,0.01
FRANCISCO CORREA DA CRUZ,1,0.01
FREDERICO WESTPHALEN,1,0.01
FRIGO ESTRELA,1,0.01
FRONTEIRA,1,0.01
FORMIGA,1,0.01
FURNASPARK RESORT,1,0.01
Fazenda Dois Irmãos,1,0.01
Fazenda Itália,1,0.01
Fazenda Jacuí,1,0.01
Fazenda Jucurutu do Formoso,1,0.01
Fazenda Nova Piuva,1,0.01
Fazenda Relu,1,0.01
Fazenda Decisão,1,0.01
FONTE BOA,1,0.01
FLYGHT COMPANY,1,0.01
FLY VILLE,1,0.01
FAZENDA TERRA DO SOL,1,0.01
FAZENDA THÁLIA,1,0.01
FAZENDA TRADIÇÃO,1,0.01
FAZENDA TRAVESSÃO,1,0.01
FAZENDA TROPICAL,1,0.01
JOSÉ CLETO,1,0.01
IMIGRANTES,1,0.01
FAZENDA DENUSA DESTILARIA NOVA UNIÃO,1,0.01
FAZENDA LAGOA DA CAPA,1,0.01
FAZENDA LOCKS,1,0.01
FAZENDA MARIA JOSÉ,1,0.01
FAZENDA MIMOSO S/A,1,0.01
FAZENDA MONTESION,1,0.01
FAZENDA MOSQUITO,1,0.01
FAZENDA MURARÁ,1,0.01
FAZENDA MUTUM,1,0.01
FAZENDA MACUCO,1,0.01
FAZENDA FRESADORA,1,0.01
FAZENDA FORTALEZA DO GUAPORÉ,1,0.01
FAZENDA FORTALEZA,1,0.01
FAZENDA BOM RETIRO,1,0.01
FAZENDA BRUSQUE,1,0.01
FAZENDA CACHOEIRA DO LONTRA,1,0.01
FAZENDA CAMPO VITÓRIA,1,0.01
FAZENDA CANADÁ,1,0.01
FAZENDA CATACO,1,0.01
FAZENDA CENTRO OESTE,1,0.01
FAZENDA CENTÚRIA VITÓRIA,1,0.01
FAZENDA CONCEIÇÃO,1,0.01
FAZENDA CONFORTO,1,0.01
FAZENDA CRISTAL 2,1,0.01
FAZENDA CRISTO REDENTOR,1,0.01
FAZENDA FUTURA,1,0.01
FAZENDA LAGEADO,1,0.01
IGUATU,1,0.01
FAZENDA JUSSARA,1,0.01
ICA,1,0.01
GAÚCHA DO NORTE,1,0.01
GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL AIRPORT,1,0.01
GRAER,1,0.01
GUANAMBI,1,0.01
HANGAR COMANDANTE SALOMÃO ALCOLUMBRE,1,0.01
HBR,1,0.01
HELICENTRO RIBEIRÃO PRETO,1,0.01
HELIPORTO JUQUEHY BALEIA,1,0.01
HELMUTH BAUNGARTEM,1,0.01
HORÁCIO DE MATTOS,1,0.01
HOSPITAL SANTA ISABEL,1,0.01
HOTEL TRANSAMÉRICA,1,0.01
HUCK,1,0.01
HÉLIO WASUM,1,0.01
TENOAR,1,0.01
FÁBRICA FORTALEZA,1,0.01
JOSÉ MÚCIO MONTEIRO,1,0.01
FAZENDA SÃO SEBASTIÃO,1,0.01
FAZENDA SÃO PEDRO,1,0.01
FAZENDA INHUMAS DO CHAPADÃO,1,0.01
FAZENDA IRMÃS PRATA,1,0.01
FAZENDA JAÓZINHO,1,0.01
TENENTE XAVIER,1,0.01
LÊDA MELLO DE REZENDE,1,0.01
TOA-TOA,1,0.01
CAMOCIM,1,0.01
CARACARAÍ,1,0.01
CAMPO NOVO DOS PARECIS,1,0.01
CAPITÃO PM PAULO JOSÉ DE MENEZES FILHO,1,0.01
CAIMA,1,0.01
Aeródromo Privado Fazenda Maringá III,1,0.01
BOMAR,1,0.01
CASTELO BRANCO OFFICE PARK - TORRE II,1,0.01
BAIXO GUANDU - AIMORÉS,1,0.01
BANCO BRADESCO AV. PAULISTA,1,0.01
CHAVES,1,0.01
CHARLES DE GAULLE,1,0.01
BARRA,1,0.01
CHAFEI AMSEI (SBBT*),1,0.01
CEOLIN GRÃOS E FIBRA,1,0.01
BOM JESUS DA LAPA,1,0.01
CENTENO,1,0.01
BASE DE PARACURU,1,0.01
BASE RESGATE,1,0.01
BATATAIS,1,0.01
CATRIMANI I,1,0.01
CATOLÉ DO ROCHA,1,0.01
BCW,1,0.01
BLUE TREE TOWER FARIA LIMA,1,0.01
CAMPO DE FONTENELLE,1,0.01
CAMAPUÃ,1,0.01
COSMOS AVIAÇÃO AGRÍCOLA,1,0.01
CAJÚ,1,0.01
CONDOMÍNIO MENEGA,1,0.01
ARIPUANÃ,1,0.01
APLIC AVIAÇÃO AGRÍCOLA LTDA,1,0.01
