fabricante,qtde_ocorr,perc_ocorr
CIRRUS AIRCRAFT,1,0.01
CHELBER VICENTINI LILISCHKIES,1,0.01
CHALLENGER DO BRASIL,1,0.01
CESSNA AIRCARFT,1,0.01
CARLOS HENRIQUE FONSECA DE OLIVEIRA,1,0.01
CARLOS GILBERTO FRAGA MARQUES,1,0.01
CARLOS GERALDINO DA SILVA PADILHA,1,0.01
CARLOS EDUARDO NASCIMENTO SEVERO,1,0.01
CARLOS ALBERTO VALENTE,1,0.01
AUGUSTO LUIZ CAMPOS BARROSO,1,0.01
CLAIBER VIEIRA BORGES,1,0.01
BOING COMPANY,1,0.01
BOIEING COMPANY,1,0.01
BOEING AIRCRAFT,1,0.01
BELLANCA AIRCRAFT,1,0.01
BEECH AIRRAFT,1,0.01
BEECH 55,1,0.01
Avions de Transport Régional (ATR),1,0.01
Air Tractor,1,0.01
AVIONS MUDRY,1,0.01
BRUNO DE OLIVEIRA SOUZA SANTOS,1,0.01
ATR,1,0.01
ALEXANDER SCHLEICHER,1,0.01
AIRR TRACTOR,1,0.01
ANTONIO ETTORE NALLIN,1,0.01
ANTONIO CESAR DA SILVA AMARAL,1,0.01
ANTONIO CELSO QUEIROZ BORBOREMA,1,0.01
ANTONINO MOTA,1,0.01
ANDRE ALEXANDRE FERDINAND DE REYNIER,1,0.01
ANDERSON BRITO SPINELLI,1,0.01
ALOIZIO RODRIGUES,1,0.01
ALLIANCE AIRCRAFT,1,0.01
ALEXANDRE HENRIQUE DE BARROS,1,0.01
ASTRO TOYS COM. DE BRINQ. LTDA,1,0.01
ANTONOV,1,0.01
"AIR TRACTOR, INC",1,0.01
AIR TRACTOR INC.,1,0.01
AILTON MARTINS DE OLIVEIRA,1,0.01
AGROINDUSTRIAL FAZENDA MARQUESA LTDA,1,0.01
AEROTEC,1,0.01
AEROCENTRO AERONAVES,1,0.01
AEROBRAVO INDÚSTRIA AERONÁUTICA LTDA,1,0.01
AEROBRAVO,1,0.01
IBRAEX COMERCIO E IMPORTACAO DE AERONAVES,1,0.01
ACS-INDUSTRIA AERONÁUTICA LTDA,1,0.01
