dest_voo,qtde_ocorr,perc_ocorr
FAZENDA SANTA VERGÍNIA,1,0.01
FAZENDA SANTA TEREZINHA DA BARRA,1,0.01
FAZENDA SANTA ROSA,1,0.01
FAZENDA SANTA RITA,1,0.01
MATURACÁ,1,0.01
FAZENDA SANTA LAURA,1,0.01
FAZENDA SANTA ILÍDIA,1,0.01
FAZENDA SANTA GERTRUDES,1,0.01
FAZENDA SANTA ALICE,1,0.01
FAZENDA SANTA ADÉLIA,1,0.01
FAZENDA ROYAL,1,0.01
FAZENDA RIO NEGRO,1,0.01
FAZENDA RIBEIRÃO,1,0.01
FAZENDA RIBEIRO DO CÉU,1,0.01
FAZENDA REDENÇÃO,1,0.01
FAZENDA QUERÊNCIA,1,0.01
FAZENDA PUPILA,1,0.01
FAZENDA PROGRESSO,1,0.01
TITO TEIXEIRA,1,0.01
FAZENDA POUSO REDONDO,1,0.01
FAZENDA POUSO ALEGRE,1,0.01
FAZENDA PORTOBELLO,1,0.01
MELLO VIANA,1,0.01
MERLUZA 1,1,0.01
FAZENDA PLANALTO,1,0.01
FAZENDA PIRAY,1,0.01
METROPOLITAN OFFICE,1,0.01
FAZENDA PAULISTA,1,0.01
FAZENDA NOVO HORIZONTE,1,0.01
FAZENDA NOVA HOLANDA,1,0.01
JOSÉ VICENTE FARIA LIMA,1,0.01
FAZENDA NOVA ERA,1,0.01
MINA CARAÍBA,1,0.01
FAZENDA NOSSA SENHORA DE FÁTIMA,1,0.01
FAZENDA NOSSA SENHORA DAS GRAÇAS,1,0.01
URUAÇU,1,0.01
OCEAN COURAGE,1,0.01
MINERAÇÃO SERRA GRANDE,1,0.01
FAZENDA DOIS DE MAIO,1,0.01
FAZENDA MONTESION,1,0.01
FAZENDA MINAS GERAIS,1,0.01
FAZENDA MIMOSO S/A,1,0.01
FAZENDA MARIA JOSÉ,1,0.01
FAZENDA LOCKS,1,0.01
FAZENDA LAGOA DA CAPA,1,0.01
FAZENDA JAQUELINE,1,0.01
FAZENDA JAGUARETÊ,1,0.01
FAZENDA ITATUBA,1,0.01
FAZENDA ITAMARATI NORTE,1,0.01
FAZENDA BEBIDA VELHA,1,0.01
MINISTRO NELSON HUNGRIA,1,0.01
FAZENDA IRMÃS PRATA,1,0.01
FAZENDA INHUMAS DO CHAPADÃO,1,0.01
FAZENDA GESSO INTEGRAL,1,0.01
FAZENDA FUTURA,1,0.01
TENOAR,1,0.01
FAZENDA FORTALEZA DE SANTA TEREZINHA,1,0.01
FAZENDA FLORESTA DO LOBO,1,0.01
FAZENDA FELICIDADE,1,0.01
MISSÃO CATRIMANI,1,0.01
FAZENDA ESTRELA DO SUL,1,0.01
FAZENDA ESPÍRITO SANTO,1,0.01
FAZENDA DENUSA DESTILARIA NOVA UNIÃO,1,0.01
FAZENDA DAMARO,1,0.01
MOCELIN II,1,0.01
FAZENDA BELA VISTA DO CARONAL,1,0.01
GRAER,1,0.01
FAZENDA CÓRREGO AZUL,1,0.01
FAZENDA CONFORTO,1,0.01
FAZENDA CONCÓRDIA,1,0.01
FAZENDA CONCEIÇÃO,1,0.01
FAZENDA CERRO PORÃ,1,0.01
MOLITERNO DE DRACENA,1,0.01
FAZENDA CENTÚRIA VITÓRIA,1,0.01
FAZENDA CENTRO OESTE,1,0.01
FAZENDA CENTRO DE VÔO A VELA IPUÃ,1,0.01
FAZENDA CAUAXI,1,0.01
FAZENDA CATACO,1,0.01
FAZENDA CAPÃO VERDE,1,0.01
FAZENDA CANGAIA,1,0.01
FAZENDA CANAÃ,1,0.01
MONTE ALEGRE,1,0.01
FAZENDA CAMPO ALEGRE,1,0.01
MONTE ALTO,1,0.01
FAZENDA BUSATO 1,1,0.01
FAZENDA BRUSQUE,1,0.01
FAZENDA BOM RETIRO,1,0.01
FAZENDA BOA VISTA,1,0.01
FAZENDA BOA SORTE,1,0.01
FAZENDA ELDORADO,1,0.01
FAZENDA MORRO VERMELHO,1,0.01
Maicom Manica,1,0.01
FAZENDA ARROSSENSAL,1,0.01
FAZENDA ARARAS,1,0.01
FAZENDA ANAHÍ,1,0.01
FAZENDA ALVORADA,1,0.01
HANGAR COMANDANTE SALOMÃO ALCOLUMBRE,1,0.01
FAZ. BRINQUINHO,1,0.01
MOZARLÂNDIA,1,0.01
EVERALDO MORAES BARRETO,1,0.01
MUCURI,1,0.01
HAXIU,1,0.01
UBARANA-02,1,0.01
MUNICIPAL JOSÉ FIGUEIREDO,1,0.01
MURARO - SP,1,0.01
MONTE HOREBE,1,0.01
ESTÂNCIA ESMERALDA,1,0.01
UBÁ,1,0.01
ULTRALEVE CLUBE DE CURITIBA,1,0.01
ESPUMOSO,1,0.01
Maricá,1,0.01
ENTRE RIOS,1,0.01
ENCANTA MOÇA,1,0.01
JOSÉ MÚCIO MONTEIRO,1,0.01
TENENTE XAVIER,1,0.01
ELY REGO,1,0.01
ELISA CAMARGO DE ARRUDA BOTELHO,1,0.01
NAMOCOLI,1,0.01
NANUQUE,1,0.01
NASCIMENTO I,1,0.01
UNICID - UNIVERSIDADE CIDADE DE SÃO PAULO,1,0.01
FAZENDA ARCO-ÍRIS,1,0.01
NELSON GARÓFALO,1,0.01
Doutor Mauro de Souza Castro,1,0.01
HEATHROW AIRPORT,1,0.01
NOSSA SENHORA DO LORETO,1,0.01
NOVO AERÓDROMO DE FEIJÓ,1,0.01
DOURADOS,1,0.01
DOMINGOS REGO,1,0.01
NOVO ARIPUANÃ,1,0.01
JORNALISTA BENEDITO PIMENTEL,1,0.01
DO GAÚCHO,1,0.01
NOVO HORIZONTE,1,0.01
DIOMÍCIO FREITAS,1,0.01
DIAUARUM,1,0.01
DIAMANTINA,1,0.01
DESTILARIA WD,1,0.01
DERSO PORTILHO VIEIRA,1,0.01
UNIFLY,1,0.01
DELTA,1,0.01
Navio Sonda Brava Star NS-45,1,0.01
Clube de Voo Floresta,1,0.01
Clube Estância Ouro Verde,1,0.01
OCEAN ALLIANCE,1,0.01
FAZENDA SANTRI,1,0.01
JOAO DURVAL CARNEIRO,1,0.01
OCEAN RIG CORCOVADO,1,0.01
ORLANDO DE CARVALHO,1,0.01
PARACATU,1,0.01
COSTA RICA,1,0.01
URUBA,1,0.01
COSTA DOS COQUEIROS,1,0.01
COSMOS AVIAÇÃO AGRÍCOLA,1,0.01
OLIVEIRA,1,0.01
ONKIOLA,1,0.01
ORIXIMINÁ,1,0.01
CORONEL NEWTON BRAGA,1,0.01
ORIÇANGA DE ABREU,1,0.01
HELICENTRO RIBEIRÃO PRETO,1,0.01
BASE DE PARACURU,1,0.01
USINA COLORADO,1,0.01
CORIBE,1,0.01
CONFRESA,1,0.01
CONDOMÍNIO JACUMÃ OCEAN RESORT,1,0.01
CONDOMÍNIO CONDE MATARAZZO,1,0.01
CONDOMÍNIO AERONÁUTICO MONTE CRISTO,1,0.01
COMANDANTE PASCHOAL PATROCÍNIO FILHO,1,0.01
PAA-PIU,1,0.01
PAGRISA,1,0.01
PALACIO GUANABARA,1,0.01
PALMEIRA DAS MISSÕES,1,0.01
USINA CORURIPE,1,0.01
PARAFURI,1,0.01
PARI-CACHOEIRA,1,0.01
HELISUL IV,1,0.01
PETROBRAS 63,1,0.01
Pista Mata Verde,1,0.01
PASSA TEMPO,1,0.01
CLUBE DE MARTE IBIRÁ DE PÁRA-QUEDISMO,1,0.01
CLUBE DE ESPORTES AÉREOS E NÁUTICOS DO PARÁ,1,0.01
CLUBE DE AVIAÇÃO CÉU AZUL,1,0.01
CLEMENTE VERILLO,1,0.01
CL,1,0.01
CIFI,1,0.01
